no;model;tahun; harga ;transmisi;jarak_tempuh;bahan_bakar; pajak ;mpg;ukuran_mesin; harga_awal ;selisih tahun
14;Daihatsu Xenia ;2017;Rp130.000.000,00;Manual;227000;Petrol/Gasoline/Bensin;Rp1.500.000,00;25;1,3;Rp89.500.000,00;6
15;Mitsubishi Colt T120 SS;2018;Rp109.000.000,00;Manual;280000;Petrol/Gasoline/Bensin;Rp1.563.000,00;22;1,5;Rp85.000.000,00;5
16;Toyota Avanza ;2012;Rp105.000.000,00;Manual;28000;Petrol/Gasoline/Bensin;Rp3.500.000,00;25;1,5;Rp89.500.000,00;11
17;Toyota Yaris S;2015;Rp147.000.000,00;Manual;110000;Petrol/Gasoline/Bensin;Rp1.209.500,00;25;1,5;Rp139.000.000,00;8
18;Toyota Avanza;2012;Rp105.000.000,00;Manual;109000;Petrol/Gasoline/Bensin;Rp2.989.000,00;23;1,3;Rp99.500.000,00;11
19;Toyota Avanza;2014;Rp157.000.000,00;Manual;120000;Petrol/Gasoline/Bensin;Rp2.800.000,00;23;1,3;Rp99.500.000,00;9
20;Honda Brio;2018;Rp128.000.000,00;Manual;85700;Petrol/Gasoline/Bensin;Rp2.000.000,00;25;1,2;Rp135.000.000,00;5
21;Honda Brio E;2016;Rp129.000.000,00;Semi-Auto;75438;Petrol/Gasoline/Bensin;Rp2.000.000,00;25;1,3;Rp135.000.000,00;7
22;Toyota Avanza;2012;Rp105.000.000,00;Manual;10000;Petrol/Gasoline/Bensin;Rp3.500.000,00;23;1,3;Rp116.500.000,00;11
23;Suzuki Ertiga GL DOUBLE BLOWER;2013;Rp156.000.000,00;Manual;180000;Petrol/Gasoline/Bensin;Rp3.880.000,00;24;1,4;Rp155.000.000,00;10
24;Daihatsu Ayla;2016;Rp87.000.000,00;Manual;10000;Petrol/Gasoline/Bensin;Rp1.371.000,00;22;1;Rp110.000.000,00;7
25;Suzuki Ertiga GL ;2012;Rp108.000.000,00;Manual;60000;Petrol/Gasoline/Bensin;Rp3.507.000,00;24;1,4;Rp145.000.000,00;11
26;Toyota Kijang Innova;2015;Rp177.000.000,00;Manual;66781;Petrol/Gasoline/Bensin;Rp4.000.000,00;30;2;Rp235.000.000,00;8
27;Suzuki Ertiga GL;2019;Rp164.000.000,00;Manual;50000;Petrol/Gasoline/Bensin;Rp3.507.000,00;24;1,4;Rp145.000.000,00;4
28;Honda Jazz;2013;Rp125.000.000,00;Manual;120000;Petrol/Gasoline/Bensin;Rp2.000.000,00;22;1,5;Rp169.000.000,00;10
29;Toyota Fortuner ;2018;Rp379.000.000,00;Automatic;45000;Diesel/Solar;Rp4.000.000,00;34;2,4;Rp295.000.000,00;5
30;Nissan Grand Livina;2013;Rp287.000.000,00;Automatic;66000;Petrol/Gasoline/Bensin;Rp2.500.000,00;25;1,5;Rp165.000.000,00;10
31;Daihatsu Ayla;2017;Rp134.000.000,00;Manual;58074;Petrol/Gasoline/Bensin;Rp1.371.000,00;22;1;Rp110.000.000,00;6
32;Toyota Avanza;2021;Rp189.000.000,00;Manual;40000;Petrol/Gasoline/Bensin;Rp2.800.000,00;25;1,5;Rp116.500.000,00;2
33;Daihatsu Ayla;2017;Rp134.000.000,00;Manual;21542;Petrol/Gasoline/Bensin;Rp1.371.000,00;25;1,2;Rp110.000.000,00;6
34;Toyota Agya;2021;Rp170.390.000,00;Semi-Auto;47300;Petrol/Gasoline/Bensin;Rp1.500.000,00;22;1,2;Rp105.000.000,00;2
35;Daihatsu Ayla;2019;Rp97.000.000,00;Manual;5000;Petrol/Gasoline/Bensin;Rp1.371.000,00;25;1,2;Rp110.000.000,00;4
36;Daihatsu Xenia ;2017;Rp125.000.000,00;Manual;52580;Petrol/Gasoline/Bensin;Rp1.800.000,00;25;1,3;Rp126.000.000,00;6
37;Toyota Calya ;2019;Rp136.000.000,00;Manual;45000;Petrol/Gasoline/Bensin;Rp2.000.000,00;22;1,2;Rp132.000.000,00;4
38;Toyota Yaris G;2014;Rp140.000.000,00;Manual;75000;Petrol/Gasoline/Bensin;Rp3.250.000,00;25;1,5;Rp169.000.000,00;9
39;Honda Brio Satya E;2016;Rp110.000.000,00;Manual;87540;Petrol/Gasoline/Bensin;Rp2.000.000,00;25;1,2;Rp135.000.000,00;7
40;Daihatsu Ayla;2019;Rp125.000.000,00;Automatic;45000;Petrol/Gasoline/Bensin;Rp1.371.000,00;25;1,2;Rp110.000.000,00;4
41;Suzuki Ertiga DX;2012;Rp256.600.000,00;Semi-Auto;70000;Petrol/Gasoline/Bensin;Rp3.507.000,00;24;1,4;Rp135.000.000,00;11
42;Daihatsu Xenia ;2015;Rp92.000.000,00;Manual;50000;Petrol/Gasoline/Bensin;Rp1.500.000,00;22;1;Rp126.000.000,00;8
43;Toyota Kijang Innova;2008;Rp105.000.000,00;Manual;150000;Petrol/Gasoline/Bensin;Rp4.000.000,00;30;2;Rp255.000.000,00;15
44;Honda Brio;2014;Rp95.000.000,00;Automatic;150000;Petrol/Gasoline/Bensin;Rp2.000.000,00;25;1,2;Rp135.000.000,00;9
45;Daihatsu Ayla;2016;Rp87.000.000,00;Manual;63000;Petrol/Gasoline/Bensin;Rp1.371.000,00;22;1;Rp110.000.000,00;7
46;Toyota Avanza;2020;Rp152.000.000,00;Manual;55949;Petrol/Gasoline/Bensin;Rp2.800.000,00;23;1,3;Rp116.500.000,00;3
47;Toyota Avanza;2016;Rp214.000.000,00;Semi-Auto;299762;Petrol/Gasoline/Bensin;Rp2.800.000,00;23;1,3;Rp116.500.000,00;7
48;Daihatsu Xenia DLX VTTi;2015;Rp109.000.000,00;Manual;98000;Petrol/Gasoline/Bensin;Rp1.371.000,00;22;1;Rp146.000.000,00;8
49;Toyota Fortuner VRZ TRD LUX AT;2016;Rp355.000.000,00;Manual;18000;Diesel/Solar;Rp4.890.000,00;34;2,4;Rp485.000.000,00;7
50;Honda Jazz GE8;2013;Rp140.000.000,00;Automatic;125421;Petrol/Gasoline/Bensin;Rp2.000.000,00;22;1,5;Rp215.000.000,00;10
51;Toyota Fortuner ;2012;Rp220.000.000,00;Semi-Auto;98758;Petrol/Gasoline/Bensin;Rp4.000.000,00;35;2,5;Rp305.000.000,00;11
52;Honda CRV i-VTEC ;2013;Rp199.000.000,00;Manual;90000;Petrol/Gasoline/Bensin;Rp3.200.000,00;30;2;Rp335.000.000,00;10
53;Daihatsu Xenia VVTI;2017;Rp135.000.000,00;Manual;245454;Petrol/Gasoline/Bensin;Rp2.450.000,00;25;1,3;Rp126.000.000,00;6
54;Toyota Calya G;2017;Rp128.000.000,00;Manual;94728;Petrol/Gasoline/Bensin;Rp2.000.000,00;22;1,2;Rp132.000.000,00;6
55;Toyota Fortuner G;2011;Rp180.000.000,00;Automatic;192452;Diesel/Solar;Rp4.890.000,00;34;2,4;Rp295.000.000,00;12
56;Toyota Yaris J;2012;Rp104.000.000,00;Manual;89560;Petrol/Gasoline/Bensin;Rp3.371.000,00;25;1,5;Rp139.000.000,00;11
57;Toyota Innova G;2018;Rp249.000.000,00;Manual;48000;Petrol/Gasoline/Bensin;Rp4.000.000,00;30;2;Rp235.000.000,00;5
58;Honda Brio Satya E;2018;Rp110.000.000,00;Manual;242252;Petrol/Gasoline/Bensin;Rp2.000.000,00;25;1,2;Rp135.000.000,00;5
